Found 12 unique colour flow sets:

Set: 1 Seen: 1650 | (501,503),(502,504),(501,0),(0,503),(502,0),(0,504)
Set: 2 Seen: 1598 | (501,503),(502,504),(501,0),(0,504),(502,0),(0,503)
Set: 3 Seen: 467 | (501,503),(503,504),(501,0),(0,502),(502,0),(0,504)
Set: 4 Seen: 474 | (501,503),(503,504),(501,0),(0,504),(502,0),(0,502)
Set: 5 Seen: 1584 | (502,503),(501,504),(501,0),(0,503),(502,0),(0,504)
Set: 6 Seen: 1554 | (502,503),(501,504),(501,0),(0,504),(502,0),(0,503)
Set: 7 Seen: 425 | (502,503),(503,504),(501,0),(0,501),(502,0),(0,504)
Set: 8 Seen: 495 | (502,503),(503,504),(501,0),(0,504),(502,0),(0,501)
Set: 9 Seen: 443 | (504,503),(501,504),(501,0),(0,502),(502,0),(0,503)
Set: 10 Seen: 454 | (504,503),(501,504),(501,0),(0,503),(502,0),(0,502)
Set: 11 Seen: 435 | (504,503),(502,504),(501,0),(0,501),(502,0),(0,503)
Set: 12 Seen: 421 | (504,503),(502,504),(501,0),(0,503),(502,0),(0,501)
