Found 24 unique colour flow sets:

Set: 1 Seen: 239 | (501,502),(503,0),(503,504),(501,0),(504,505),(505,502)
Set: 2 Seen: 224 | (501,502),(503,0),(503,505),(501,0),(504,502),(505,504)
Set: 3 Seen: 202 | (501,502),(504,0),(503,502),(501,0),(504,505),(505,503)
Set: 4 Seen: 236 | (501,502),(504,0),(503,505),(501,0),(504,503),(505,502)
Set: 5 Seen: 245 | (501,502),(505,0),(503,502),(501,0),(504,503),(505,504)
Set: 6 Seen: 266 | (501,502),(505,0),(503,504),(501,0),(504,502),(505,503)
Set: 7 Seen: 235 | (503,502),(502,0),(503,504),(501,0),(504,505),(505,501)
Set: 8 Seen: 249 | (503,502),(502,0),(503,505),(501,0),(504,501),(505,504)
Set: 9 Seen: 625 | (503,502),(504,0),(503,501),(501,0),(504,505),(505,502)
Set: 10 Seen: 582 | (503,502),(504,0),(503,505),(501,0),(504,502),(505,501)
Set: 11 Seen: 585 | (503,502),(505,0),(503,501),(501,0),(504,502),(505,504)
Set: 12 Seen: 570 | (503,502),(505,0),(503,504),(501,0),(504,501),(505,502)
Set: 13 Seen: 223 | (504,502),(502,0),(503,501),(501,0),(504,505),(505,503)
Set: 14 Seen: 264 | (504,502),(502,0),(503,505),(501,0),(504,503),(505,501)
Set: 15 Seen: 579 | (504,502),(503,0),(503,502),(501,0),(504,505),(505,501)
Set: 16 Seen: 606 | (504,502),(503,0),(503,505),(501,0),(504,501),(505,502)
Set: 17 Seen: 571 | (504,502),(505,0),(503,501),(501,0),(504,503),(505,502)
Set: 18 Seen: 649 | (504,502),(505,0),(503,502),(501,0),(504,501),(505,503)
Set: 19 Seen: 219 | (505,502),(502,0),(503,501),(501,0),(504,503),(505,504)
Set: 20 Seen: 282 | (505,502),(502,0),(503,504),(501,0),(504,501),(505,503)
Set: 21 Seen: 532 | (505,502),(503,0),(503,502),(501,0),(504,501),(505,504)
Set: 22 Seen: 627 | (505,502),(503,0),(503,504),(501,0),(504,502),(505,501)
Set: 23 Seen: 575 | (505,502),(504,0),(503,501),(501,0),(504,502),(505,503)
Set: 24 Seen: 615 | (505,502),(504,0),(503,502),(501,0),(504,503),(505,501)
