Found 12 unique colour flow sets:

Set: 1 Seen: 673 | (501,503),(502,0),(504,503),(501,0),(502,0),(0,504)
Set: 2 Seen: 829 | (501,503),(503,0),(504,502),(501,0),(502,0),(0,504)
Set: 3 Seen: 698 | (501,503),(504,0),(504,502),(501,0),(502,0),(0,503)
Set: 4 Seen: 1037 | (501,503),(504,0),(504,503),(501,0),(502,0),(0,502)
Set: 5 Seen: 616 | (502,503),(501,0),(504,503),(501,0),(502,0),(0,504)
Set: 6 Seen: 750 | (502,503),(503,0),(504,501),(501,0),(502,0),(0,504)
Set: 7 Seen: 716 | (502,503),(504,0),(504,501),(501,0),(502,0),(0,503)
Set: 8 Seen: 1065 | (502,503),(504,0),(504,503),(501,0),(502,0),(0,501)
Set: 9 Seen: 1200 | (504,503),(501,0),(504,502),(501,0),(502,0),(0,503)
Set: 10 Seen: 1235 | (504,503),(502,0),(504,501),(501,0),(502,0),(0,503)
Set: 11 Seen: 589 | (504,503),(503,0),(504,501),(501,0),(502,0),(0,502)
Set: 12 Seen: 592 | (504,503),(503,0),(504,502),(501,0),(502,0),(0,501)
