Found 12 unique colour flow sets:

Set: 1 Seen: 51 | (501,0),(503,0),(501,0),(502,0),(503,504),(504,502)
Set: 2 Seen: 61 | (501,0),(504,0),(501,0),(502,0),(503,502),(504,503)
Set: 3 Seen: 50 | (502,0),(503,0),(501,0),(502,0),(503,504),(504,501)
Set: 4 Seen: 54 | (502,0),(504,0),(501,0),(502,0),(503,501),(504,503)
Set: 5 Seen: 52 | (503,0),(501,0),(501,0),(502,0),(503,504),(504,502)
Set: 6 Seen: 35 | (503,0),(502,0),(501,0),(502,0),(503,504),(504,501)
Set: 7 Seen: 111 | (503,0),(504,0),(501,0),(502,0),(503,501),(504,502)
Set: 8 Seen: 102 | (503,0),(504,0),(501,0),(502,0),(503,502),(504,501)
Set: 9 Seen: 49 | (504,0),(501,0),(501,0),(502,0),(503,502),(504,503)
Set: 10 Seen: 54 | (504,0),(502,0),(501,0),(502,0),(503,501),(504,503)
Set: 11 Seen: 112 | (504,0),(503,0),(501,0),(502,0),(503,501),(504,502)
Set: 12 Seen: 108 | (504,0),(503,0),(501,0),(502,0),(503,502),(504,501)
