Found 24 unique colour flow sets:

Set: 1 Seen: 416 | (502,0),(0,501),(502,503),(503,504),(504,505),(505,501)
Set: 2 Seen: 416 | (502,0),(0,501),(502,503),(503,505),(504,501),(505,504)
Set: 3 Seen: 432 | (502,0),(0,501),(502,504),(503,501),(504,505),(505,503)
Set: 4 Seen: 391 | (502,0),(0,501),(502,504),(503,505),(504,503),(505,501)
Set: 5 Seen: 442 | (502,0),(0,501),(502,505),(503,501),(504,503),(505,504)
Set: 6 Seen: 410 | (502,0),(0,501),(502,505),(503,504),(504,501),(505,503)
Set: 7 Seen: 420 | (503,0),(0,501),(502,501),(503,504),(504,505),(505,502)
Set: 8 Seen: 408 | (503,0),(0,501),(502,501),(503,505),(504,502),(505,504)
Set: 9 Seen: 406 | (503,0),(0,501),(502,504),(503,502),(504,505),(505,501)
Set: 10 Seen: 396 | (503,0),(0,501),(502,504),(503,505),(504,501),(505,502)
Set: 11 Seen: 408 | (503,0),(0,501),(502,505),(503,502),(504,501),(505,504)
Set: 12 Seen: 410 | (503,0),(0,501),(502,505),(503,504),(504,502),(505,501)
Set: 13 Seen: 434 | (504,0),(0,501),(502,501),(503,502),(504,505),(505,503)
Set: 14 Seen: 412 | (504,0),(0,501),(502,501),(503,505),(504,503),(505,502)
Set: 15 Seen: 411 | (504,0),(0,501),(502,503),(503,501),(504,505),(505,502)
Set: 16 Seen: 401 | (504,0),(0,501),(502,503),(503,505),(504,502),(505,501)
Set: 17 Seen: 409 | (504,0),(0,501),(502,505),(503,501),(504,502),(505,503)
Set: 18 Seen: 416 | (504,0),(0,501),(502,505),(503,502),(504,503),(505,501)
Set: 19 Seen: 398 | (505,0),(0,501),(502,501),(503,502),(504,503),(505,504)
Set: 20 Seen: 453 | (505,0),(0,501),(502,501),(503,504),(504,502),(505,503)
Set: 21 Seen: 420 | (505,0),(0,501),(502,503),(503,501),(504,502),(505,504)
Set: 22 Seen: 399 | (505,0),(0,501),(502,503),(503,504),(504,501),(505,502)
Set: 23 Seen: 465 | (505,0),(0,501),(502,504),(503,501),(504,503),(505,502)
Set: 24 Seen: 427 | (505,0),(0,501),(502,504),(503,502),(504,501),(505,503)
