Found 12 unique colour flow sets:

Set: 1 Seen: 1389 | (501,0),(0,501),(502,0),(0,503),(503,504),(504,502)
Set: 2 Seen: 1425 | (501,0),(0,501),(502,0),(0,504),(503,502),(504,503)
Set: 3 Seen: 16 | (502,0),(0,501),(502,0),(0,503),(503,504),(504,501)
Set: 4 Seen: 4 | (502,0),(0,501),(502,0),(0,504),(503,501),(504,503)
Set: 5 Seen: 12 | (503,0),(0,501),(502,0),(0,501),(503,504),(504,502)
Set: 6 Seen: 1123 | (503,0),(0,501),(502,0),(0,502),(503,504),(504,501)
Set: 7 Seen: 2408 | (503,0),(0,501),(502,0),(0,504),(503,501),(504,502)
Set: 8 Seen: 12 | (503,0),(0,501),(502,0),(0,504),(503,502),(504,501)
Set: 9 Seen: 6 | (504,0),(0,501),(502,0),(0,501),(503,502),(504,503)
Set: 10 Seen: 1163 | (504,0),(0,501),(502,0),(0,502),(503,501),(504,503)
Set: 11 Seen: 19 | (504,0),(0,501),(502,0),(0,503),(503,501),(504,502)
Set: 12 Seen: 2423 | (504,0),(0,501),(502,0),(0,503),(503,502),(504,501)
