Found 12 unique colour flow sets:

Set: 1 Seen: 651 | (0,501),(0,502),(0,501),(0,503),(503,504),(504,502)
Set: 2 Seen: 654 | (0,501),(0,502),(0,501),(0,504),(503,502),(504,503)
Set: 3 Seen: 587 | (0,501),(0,502),(0,502),(0,503),(503,504),(504,501)
Set: 4 Seen: 605 | (0,501),(0,502),(0,502),(0,504),(503,501),(504,503)
Set: 5 Seen: 589 | (0,501),(0,502),(0,503),(0,501),(503,504),(504,502)
Set: 6 Seen: 653 | (0,501),(0,502),(0,503),(0,502),(503,504),(504,501)
Set: 7 Seen: 1273 | (0,501),(0,502),(0,503),(0,504),(503,501),(504,502)
Set: 8 Seen: 1223 | (0,501),(0,502),(0,503),(0,504),(503,502),(504,501)
Set: 9 Seen: 662 | (0,501),(0,502),(0,504),(0,501),(503,502),(504,503)
Set: 10 Seen: 636 | (0,501),(0,502),(0,504),(0,502),(503,501),(504,503)
Set: 11 Seen: 1252 | (0,501),(0,502),(0,504),(0,503),(503,501),(504,502)
Set: 12 Seen: 1215 | (0,501),(0,502),(0,504),(0,503),(503,502),(504,501)
