Found 66 unique colour flow sets:

Set: 1 Seen: 1 | (501,502),(504,0),(503,502),(501,0),(504,505),(505,506),(506,503)
Set: 2 Seen: 1 | (501,502),(505,0),(503,504),(501,0),(504,506),(505,503),(506,502)
Set: 3 Seen: 1 | (501,502),(505,0),(503,506),(501,0),(504,502),(505,503),(506,504)
Set: 4 Seen: 2 | (501,502),(505,0),(503,506),(501,0),(504,503),(505,504),(506,502)
Set: 5 Seen: 1 | (501,502),(506,0),(503,502),(501,0),(504,505),(505,503),(506,504)
Set: 6 Seen: 1 | (501,502),(506,0),(503,505),(501,0),(504,502),(505,504),(506,503)
Set: 7 Seen: 1 | (503,502),(502,0),(503,504),(501,0),(504,505),(505,506),(506,501)
Set: 8 Seen: 1 | (503,502),(502,0),(503,504),(501,0),(504,506),(505,501),(506,505)
Set: 9 Seen: 2 | (503,502),(502,0),(503,505),(501,0),(504,506),(505,504),(506,501)
Set: 10 Seen: 1 | (503,502),(502,0),(503,506),(501,0),(504,501),(505,504),(506,505)
Set: 11 Seen: 1 | (503,502),(502,0),(503,506),(501,0),(504,505),(505,501),(506,504)
Set: 12 Seen: 1 | (503,502),(504,0),(503,501),(501,0),(504,506),(505,502),(506,505)
Set: 13 Seen: 1 | (503,502),(504,0),(503,505),(501,0),(504,506),(505,501),(506,502)
Set: 14 Seen: 1 | (503,502),(504,0),(503,506),(501,0),(504,502),(505,501),(506,505)
Set: 15 Seen: 1 | (503,502),(504,0),(503,506),(501,0),(504,505),(505,502),(506,501)
Set: 16 Seen: 1 | (503,502),(505,0),(503,501),(501,0),(504,502),(505,506),(506,504)
Set: 17 Seen: 1 | (503,502),(505,0),(503,506),(501,0),(504,501),(505,502),(506,504)
Set: 18 Seen: 2 | (503,502),(505,0),(503,506),(501,0),(504,502),(505,504),(506,501)
Set: 19 Seen: 2 | (503,502),(506,0),(503,501),(501,0),(504,502),(505,504),(506,505)
Set: 20 Seen: 2 | (503,502),(506,0),(503,501),(501,0),(504,505),(505,502),(506,504)
Set: 21 Seen: 1 | (503,502),(506,0),(503,504),(501,0),(504,501),(505,502),(506,505)
Set: 22 Seen: 1 | (503,502),(506,0),(503,504),(501,0),(504,505),(505,501),(506,502)
Set: 23 Seen: 1 | (503,502),(506,0),(503,505),(501,0),(504,502),(505,501),(506,504)
Set: 24 Seen: 1 | (504,502),(502,0),(503,501),(501,0),(504,505),(505,506),(506,503)
Set: 25 Seen: 1 | (504,502),(502,0),(503,501),(501,0),(504,506),(505,503),(506,505)
Set: 26 Seen: 1 | (504,502),(502,0),(503,506),(501,0),(504,505),(505,503),(506,501)
Set: 27 Seen: 2 | (504,502),(503,0),(503,502),(501,0),(504,505),(505,506),(506,501)
Set: 28 Seen: 1 | (504,502),(503,0),(503,502),(501,0),(504,506),(505,501),(506,505)
Set: 29 Seen: 2 | (504,502),(503,0),(503,505),(501,0),(504,506),(505,502),(506,501)
Set: 30 Seen: 1 | (504,502),(503,0),(503,506),(501,0),(504,501),(505,502),(506,505)
Set: 31 Seen: 2 | (504,502),(503,0),(503,506),(501,0),(504,505),(505,501),(506,502)
Set: 32 Seen: 2 | (504,502),(505,0),(503,501),(501,0),(504,503),(505,506),(506,502)
Set: 33 Seen: 4 | (504,502),(505,0),(503,502),(501,0),(504,506),(505,503),(506,501)
Set: 34 Seen: 1 | (504,502),(505,0),(503,506),(501,0),(504,503),(505,502),(506,501)
Set: 35 Seen: 1 | (504,502),(506,0),(503,501),(501,0),(504,503),(505,502),(506,505)
Set: 36 Seen: 3 | (504,502),(506,0),(503,501),(501,0),(504,505),(505,503),(506,502)
Set: 37 Seen: 2 | (504,502),(506,0),(503,502),(501,0),(504,501),(505,503),(506,505)
