Found 42 unique colour flow sets:

Set: 1 Seen: 2 | (501,503),(502,0),(504,503),(501,0),(502,0),(0,505),(505,504)
Set: 2 Seen: 1 | (501,503),(502,0),(504,505),(501,0),(502,0),(0,504),(505,503)
Set: 3 Seen: 1 | (501,503),(503,0),(504,502),(501,0),(502,0),(0,505),(505,504)
Set: 4 Seen: 2 | (501,503),(503,0),(504,505),(501,0),(502,0),(0,504),(505,502)
Set: 5 Seen: 1 | (501,503),(504,0),(504,502),(501,0),(502,0),(0,505),(505,503)
Set: 6 Seen: 1 | (501,503),(504,0),(504,503),(501,0),(502,0),(0,505),(505,502)
Set: 7 Seen: 2 | (501,503),(504,0),(504,505),(501,0),(502,0),(0,502),(505,503)
Set: 8 Seen: 1 | (501,503),(505,0),(504,502),(501,0),(502,0),(0,503),(505,504)
Set: 9 Seen: 2 | (501,503),(505,0),(504,502),(501,0),(502,0),(0,504),(505,503)
Set: 10 Seen: 1 | (501,503),(505,0),(504,503),(501,0),(502,0),(0,504),(505,502)
Set: 11 Seen: 2 | (502,503),(501,0),(504,505),(501,0),(502,0),(0,504),(505,503)
Set: 12 Seen: 1 | (502,503),(503,0),(504,501),(501,0),(502,0),(0,505),(505,504)
Set: 13 Seen: 1 | (502,503),(503,0),(504,505),(501,0),(502,0),(0,504),(505,501)
Set: 14 Seen: 1 | (502,503),(504,0),(504,501),(501,0),(502,0),(0,505),(505,503)
Set: 15 Seen: 6 | (502,503),(504,0),(504,503),(501,0),(502,0),(0,505),(505,501)
Set: 16 Seen: 2 | (502,503),(504,0),(504,505),(501,0),(502,0),(0,501),(505,503)
Set: 17 Seen: 1 | (502,503),(505,0),(504,501),(501,0),(502,0),(0,503),(505,504)
Set: 18 Seen: 2 | (502,503),(505,0),(504,501),(501,0),(502,0),(0,504),(505,503)
Set: 19 Seen: 4 | (502,503),(505,0),(504,503),(501,0),(502,0),(0,501),(505,504)
Set: 20 Seen: 4 | (502,503),(505,0),(504,503),(501,0),(502,0),(0,504),(505,501)
Set: 21 Seen: 2 | (504,503),(501,0),(504,502),(501,0),(502,0),(0,505),(505,503)
Set: 22 Seen: 2 | (504,503),(501,0),(504,505),(501,0),(502,0),(0,503),(505,502)
Set: 23 Seen: 2 | (504,503),(502,0),(504,501),(501,0),(502,0),(0,505),(505,503)
Set: 24 Seen: 4 | (504,503),(502,0),(504,505),(501,0),(502,0),(0,503),(505,501)
Set: 25 Seen: 5 | (504,503),(503,0),(504,501),(501,0),(502,0),(0,505),(505,502)
Set: 26 Seen: 3 | (504,503),(503,0),(504,502),(501,0),(502,0),(0,505),(505,501)
Set: 27 Seen: 1 | (504,503),(503,0),(504,505),(501,0),(502,0),(0,501),(505,502)
Set: 28 Seen: 1 | (504,503),(503,0),(504,505),(501,0),(502,0),(0,502),(505,501)
Set: 29 Seen: 2 | (504,503),(505,0),(504,501),(501,0),(502,0),(0,502),(505,503)
Set: 30 Seen: 4 | (504,503),(505,0),(504,501),(501,0),(502,0),(0,503),(505,502)
Set: 31 Seen: 5 | (504,503),(505,0),(504,502),(501,0),(502,0),(0,503),(505,501)
Set: 32 Seen: 7 | (505,503),(501,0),(504,502),(501,0),(502,0),(0,503),(505,504)
Set: 33 Seen: 1 | (505,503),(501,0),(504,503),(501,0),(502,0),(0,504),(505,502)
Set: 34 Seen: 2 | (505,503),(502,0),(504,501),(501,0),(502,0),(0,503),(505,504)
Set: 35 Seen: 2 | (505,503),(502,0),(504,503),(501,0),(502,0),(0,504),(505,501)
Set: 36 Seen: 3 | (505,503),(503,0),(504,501),(501,0),(502,0),(0,504),(505,502)
Set: 37 Seen: 1 | (505,503),(503,0),(504,502),(501,0),(502,0),(0,501),(505,504)
Set: 38 Seen: 4 | (505,503),(503,0),(504,502),(501,0),(502,0),(0,504),(505,501)
Set: 39 Seen: 2 | (505,503),(504,0),(504,501),(501,0),(502,0),(0,503),(505,502)
Set: 40 Seen: 4 | (505,503),(504,0),(504,502),(501,0),(502,0),(0,503),(505,501)
Set: 41 Seen: 2 | (505,503),(504,0),(504,503),(501,0),(502,0),(0,501),(505,502)
Set: 42 Seen: 3 | (505,503),(504,0),(504,503),(501,0),(502,0),(0,502),(505,501)
