Found 18 unique colour flow sets:

Set: 1 Seen: 10 | (501,504),(502,0),(501,0),(0,503),(502,0),(0,504),(503,0)
Set: 2 Seen: 4 | (501,504),(502,0),(501,0),(0,504),(502,0),(0,503),(503,0)
Set: 3 Seen: 3 | (501,504),(503,0),(501,0),(0,502),(502,0),(0,504),(503,0)
Set: 4 Seen: 5 | (501,504),(503,0),(501,0),(0,504),(502,0),(0,502),(503,0)
Set: 5 Seen: 5 | (501,504),(504,0),(501,0),(0,502),(502,0),(0,503),(503,0)
Set: 6 Seen: 5 | (501,504),(504,0),(501,0),(0,503),(502,0),(0,502),(503,0)
Set: 7 Seen: 2 | (502,504),(501,0),(501,0),(0,503),(502,0),(0,504),(503,0)
Set: 8 Seen: 10 | (502,504),(501,0),(501,0),(0,504),(502,0),(0,503),(503,0)
Set: 9 Seen: 4 | (502,504),(503,0),(501,0),(0,501),(502,0),(0,504),(503,0)
Set: 10 Seen: 10 | (502,504),(503,0),(501,0),(0,504),(502,0),(0,501),(503,0)
Set: 11 Seen: 4 | (502,504),(504,0),(501,0),(0,501),(502,0),(0,503),(503,0)
Set: 12 Seen: 8 | (502,504),(504,0),(501,0),(0,503),(502,0),(0,501),(503,0)
Set: 13 Seen: 6 | (503,504),(501,0),(501,0),(0,502),(502,0),(0,504),(503,0)
Set: 14 Seen: 6 | (503,504),(501,0),(501,0),(0,504),(502,0),(0,502),(503,0)
Set: 15 Seen: 3 | (503,504),(502,0),(501,0),(0,501),(502,0),(0,504),(503,0)
Set: 16 Seen: 9 | (503,504),(502,0),(501,0),(0,504),(502,0),(0,501),(503,0)
Set: 17 Seen: 2 | (503,504),(504,0),(501,0),(0,501),(502,0),(0,502),(503,0)
Set: 18 Seen: 4 | (503,504),(504,0),(501,0),(0,502),(502,0),(0,501),(503,0)
