Found 24 unique colour flow sets:

Set: 1 Seen: 1 | (501,503),(0,501),(504,502),(0,504),(502,0),(0,505),(505,503)
Set: 2 Seen: 1 | (501,503),(0,501),(504,502),(0,505),(502,0),(0,503),(505,504)
Set: 3 Seen: 4 | (501,503),(0,501),(504,503),(0,502),(502,0),(0,505),(505,504)
Set: 4 Seen: 3 | (501,503),(0,501),(504,503),(0,505),(502,0),(0,504),(505,502)
Set: 5 Seen: 2 | (501,503),(0,501),(504,505),(0,502),(502,0),(0,504),(505,503)
Set: 6 Seen: 4 | (501,503),(0,501),(504,505),(0,504),(502,0),(0,503),(505,502)
Set: 7 Seen: 2 | (502,503),(0,501),(504,501),(0,503),(502,0),(0,505),(505,504)
Set: 8 Seen: 6 | (502,503),(0,501),(504,501),(0,505),(502,0),(0,504),(505,503)
Set: 9 Seen: 12 | (502,503),(0,501),(504,503),(0,504),(502,0),(0,505),(505,501)
Set: 10 Seen: 5 | (502,503),(0,501),(504,503),(0,505),(502,0),(0,501),(505,504)
Set: 11 Seen: 5 | (502,503),(0,501),(504,505),(0,503),(502,0),(0,504),(505,501)
Set: 12 Seen: 5 | (502,503),(0,501),(504,505),(0,504),(502,0),(0,501),(505,503)
Set: 13 Seen: 1 | (504,503),(0,501),(504,501),(0,502),(502,0),(0,505),(505,503)
Set: 14 Seen: 3 | (504,503),(0,501),(504,501),(0,505),(502,0),(0,503),(505,502)
Set: 15 Seen: 1 | (504,503),(0,501),(504,502),(0,503),(502,0),(0,505),(505,501)
Set: 16 Seen: 6 | (504,503),(0,501),(504,502),(0,505),(502,0),(0,501),(505,503)
Set: 17 Seen: 9 | (504,503),(0,501),(504,505),(0,502),(502,0),(0,503),(505,501)
Set: 18 Seen: 2 | (504,503),(0,501),(504,505),(0,503),(502,0),(0,501),(505,502)
Set: 19 Seen: 7 | (505,503),(0,501),(504,501),(0,502),(502,0),(0,503),(505,504)
Set: 20 Seen: 1 | (505,503),(0,501),(504,501),(0,503),(502,0),(0,504),(505,502)
Set: 21 Seen: 2 | (505,503),(0,501),(504,502),(0,503),(502,0),(0,501),(505,504)
Set: 22 Seen: 7 | (505,503),(0,501),(504,502),(0,504),(502,0),(0,503),(505,501)
Set: 23 Seen: 6 | (505,503),(0,501),(504,503),(0,502),(502,0),(0,504),(505,501)
Set: 24 Seen: 3 | (505,503),(0,501),(504,503),(0,504),(502,0),(0,501),(505,502)
