Found 38 unique colour flow sets:

Set: 1 Seen: 2 | (501,0),(503,0),(501,0),(502,0),(503,505),(504,502),(505,504)
Set: 2 Seen: 2 | (501,0),(505,0),(501,0),(502,0),(503,502),(504,503),(505,504)
Set: 3 Seen: 2 | (502,0),(503,0),(501,0),(502,0),(503,504),(504,505),(505,501)
Set: 4 Seen: 1 | (502,0),(503,0),(501,0),(502,0),(503,505),(504,501),(505,504)
Set: 5 Seen: 3 | (502,0),(504,0),(501,0),(502,0),(503,505),(504,503),(505,501)
Set: 6 Seen: 3 | (502,0),(505,0),(501,0),(502,0),(503,504),(504,501),(505,503)
Set: 7 Seen: 1 | (503,0),(501,0),(501,0),(502,0),(503,504),(504,505),(505,502)
Set: 8 Seen: 1 | (503,0),(502,0),(501,0),(502,0),(503,505),(504,501),(505,504)
Set: 9 Seen: 6 | (503,0),(504,0),(501,0),(502,0),(503,501),(504,505),(505,502)
Set: 10 Seen: 2 | (503,0),(504,0),(501,0),(502,0),(503,502),(504,505),(505,501)
Set: 11 Seen: 4 | (503,0),(504,0),(501,0),(502,0),(503,505),(504,501),(505,502)
Set: 12 Seen: 5 | (503,0),(504,0),(501,0),(502,0),(503,505),(504,502),(505,501)
Set: 13 Seen: 1 | (503,0),(505,0),(501,0),(502,0),(503,501),(504,502),(505,504)
Set: 14 Seen: 6 | (503,0),(505,0),(501,0),(502,0),(503,502),(504,501),(505,504)
Set: 15 Seen: 1 | (503,0),(505,0),(501,0),(502,0),(503,504),(504,501),(505,502)
Set: 16 Seen: 3 | (503,0),(505,0),(501,0),(502,0),(503,504),(504,502),(505,501)
Set: 17 Seen: 2 | (504,0),(501,0),(501,0),(502,0),(503,502),(504,505),(505,503)
Set: 18 Seen: 2 | (504,0),(501,0),(501,0),(502,0),(503,505),(504,503),(505,502)
Set: 19 Seen: 3 | (504,0),(502,0),(501,0),(502,0),(503,505),(504,503),(505,501)
Set: 20 Seen: 4 | (504,0),(503,0),(501,0),(502,0),(503,501),(504,505),(505,502)
Set: 21 Seen: 3 | (504,0),(503,0),(501,0),(502,0),(503,502),(504,505),(505,501)
Set: 22 Seen: 3 | (504,0),(503,0),(501,0),(502,0),(503,505),(504,501),(505,502)
Set: 23 Seen: 3 | (504,0),(503,0),(501,0),(502,0),(503,505),(504,502),(505,501)
Set: 24 Seen: 2 | (504,0),(505,0),(501,0),(502,0),(503,501),(504,502),(505,503)
Set: 25 Seen: 3 | (504,0),(505,0),(501,0),(502,0),(503,501),(504,503),(505,502)
Set: 26 Seen: 5 | (504,0),(505,0),(501,0),(502,0),(503,502),(504,501),(505,503)
Set: 27 Seen: 6 | (504,0),(505,0),(501,0),(502,0),(503,502),(504,503),(505,501)
Set: 28 Seen: 1 | (505,0),(501,0),(501,0),(502,0),(503,502),(504,503),(505,504)
Set: 29 Seen: 2 | (505,0),(501,0),(501,0),(502,0),(503,504),(504,502),(505,503)
Set: 30 Seen: 3 | (505,0),(502,0),(501,0),(502,0),(503,501),(504,503),(505,504)
Set: 31 Seen: 1 | (505,0),(502,0),(501,0),(502,0),(503,504),(504,501),(505,503)
Set: 32 Seen: 2 | (505,0),(503,0),(501,0),(502,0),(503,501),(504,502),(505,504)
Set: 33 Seen: 2 | (505,0),(503,0),(501,0),(502,0),(503,502),(504,501),(505,504)
Set: 34 Seen: 1 | (505,0),(503,0),(501,0),(502,0),(503,504),(504,502),(505,501)
Set: 35 Seen: 2 | (505,0),(504,0),(501,0),(502,0),(503,501),(504,502),(505,503)
Set: 36 Seen: 3 | (505,0),(504,0),(501,0),(502,0),(503,501),(504,503),(505,502)
Set: 37 Seen: 3 | (505,0),(504,0),(501,0),(502,0),(503,502),(504,501),(505,503)
Set: 38 Seen: 1 | (505,0),(504,0),(501,0),(502,0),(503,502),(504,503),(505,501)
