Found 12 unique colour flow sets:

Set: 1 Seen: 9 | (502,0),(501,0),(501,0),(502,0),(503,0),(0,504),(504,503)
Set: 2 Seen: 7 | (502,0),(503,0),(501,0),(502,0),(503,0),(0,504),(504,501)
Set: 3 Seen: 8 | (502,0),(504,0),(501,0),(502,0),(503,0),(0,501),(504,503)
Set: 4 Seen: 9 | (502,0),(504,0),(501,0),(502,0),(503,0),(0,503),(504,501)
Set: 5 Seen: 7 | (503,0),(501,0),(501,0),(502,0),(503,0),(0,504),(504,502)
Set: 6 Seen: 5 | (503,0),(502,0),(501,0),(502,0),(503,0),(0,504),(504,501)
Set: 7 Seen: 7 | (503,0),(504,0),(501,0),(502,0),(503,0),(0,501),(504,502)
Set: 8 Seen: 15 | (503,0),(504,0),(501,0),(502,0),(503,0),(0,502),(504,501)
Set: 9 Seen: 5 | (504,0),(501,0),(501,0),(502,0),(503,0),(0,502),(504,503)
Set: 10 Seen: 5 | (504,0),(501,0),(501,0),(502,0),(503,0),(0,503),(504,502)
Set: 11 Seen: 14 | (504,0),(502,0),(501,0),(502,0),(503,0),(0,501),(504,503)
Set: 12 Seen: 9 | (504,0),(503,0),(501,0),(502,0),(503,0),(0,501),(504,502)
