Found 67 unique colour flow sets:

Set: 1 Seen: 1 | (502,0),(0,501),(502,503),(503,504),(504,505),(505,506),(506,501)
Set: 2 Seen: 1 | (502,0),(0,501),(502,503),(503,504),(504,506),(505,501),(506,505)
Set: 3 Seen: 1 | (502,0),(0,501),(502,503),(503,505),(504,501),(505,506),(506,504)
Set: 4 Seen: 4 | (502,0),(0,501),(502,503),(503,505),(504,506),(505,504),(506,501)
Set: 5 Seen: 1 | (502,0),(0,501),(502,503),(503,506),(504,501),(505,504),(506,505)
Set: 6 Seen: 3 | (502,0),(0,501),(502,504),(503,501),(504,506),(505,503),(506,505)
Set: 7 Seen: 3 | (502,0),(0,501),(502,505),(503,501),(504,503),(505,506),(506,504)
Set: 8 Seen: 3 | (502,0),(0,501),(502,505),(503,501),(504,506),(505,504),(506,503)
Set: 9 Seen: 2 | (502,0),(0,501),(502,505),(503,504),(504,506),(505,503),(506,501)
Set: 10 Seen: 1 | (502,0),(0,501),(502,505),(503,506),(504,501),(505,503),(506,504)
Set: 11 Seen: 1 | (502,0),(0,501),(502,506),(503,501),(504,503),(505,504),(506,505)
Set: 12 Seen: 1 | (502,0),(0,501),(502,506),(503,501),(504,505),(505,503),(506,504)
Set: 13 Seen: 3 | (502,0),(0,501),(502,506),(503,504),(504,501),(505,503),(506,505)
Set: 14 Seen: 1 | (502,0),(0,501),(502,506),(503,504),(504,505),(505,501),(506,503)
Set: 15 Seen: 1 | (502,0),(0,501),(502,506),(503,505),(504,503),(505,501),(506,504)
Set: 16 Seen: 3 | (503,0),(0,501),(502,501),(503,504),(504,505),(505,506),(506,502)
Set: 17 Seen: 2 | (503,0),(0,501),(502,501),(503,504),(504,506),(505,502),(506,505)
Set: 18 Seen: 1 | (503,0),(0,501),(502,501),(503,505),(504,502),(505,506),(506,504)
Set: 19 Seen: 1 | (503,0),(0,501),(502,501),(503,505),(504,506),(505,504),(506,502)
Set: 20 Seen: 2 | (503,0),(0,501),(502,504),(503,502),(504,505),(505,506),(506,501)
Set: 21 Seen: 1 | (503,0),(0,501),(502,504),(503,505),(504,501),(505,506),(506,502)
Set: 22 Seen: 1 | (503,0),(0,501),(502,504),(503,505),(504,506),(505,502),(506,501)
Set: 23 Seen: 2 | (503,0),(0,501),(502,505),(503,504),(504,502),(505,506),(506,501)
Set: 24 Seen: 1 | (503,0),(0,501),(502,505),(503,504),(504,506),(505,501),(506,502)
Set: 25 Seen: 3 | (503,0),(0,501),(502,505),(503,506),(504,501),(505,504),(506,502)
Set: 26 Seen: 2 | (503,0),(0,501),(502,505),(503,506),(504,502),(505,501),(506,504)
Set: 27 Seen: 2 | (503,0),(0,501),(502,506),(503,502),(504,501),(505,504),(506,505)
Set: 28 Seen: 4 | (503,0),(0,501),(502,506),(503,502),(504,505),(505,501),(506,504)
Set: 29 Seen: 2 | (503,0),(0,501),(502,506),(503,504),(504,502),(505,501),(506,505)
Set: 30 Seen: 1 | (503,0),(0,501),(502,506),(503,505),(504,502),(505,504),(506,501)
Set: 31 Seen: 1 | (504,0),(0,501),(502,501),(503,502),(504,505),(505,506),(506,503)
Set: 32 Seen: 1 | (504,0),(0,501),(502,501),(503,506),(504,503),(505,502),(506,505)
Set: 33 Seen: 1 | (504,0),(0,501),(502,501),(503,506),(504,505),(505,503),(506,502)
Set: 34 Seen: 1 | (504,0),(0,501),(502,503),(503,505),(504,502),(505,506),(506,501)
Set: 35 Seen: 1 | (504,0),(0,501),(502,503),(503,505),(504,506),(505,501),(506,502)
Set: 36 Seen: 1 | (504,0),(0,501),(502,505),(503,501),(504,502),(505,506),(506,503)
Set: 37 Seen: 1 | (504,0),(0,501),(502,505),(503,501),(504,506),(505,503),(506,502)
Set: 38 Seen: 1 | (504,0),(0,501),(502,505),(503,502),(504,503),(505,506),(506,501)
Set: 39 Seen: 1 | (504,0),(0,501),(502,505),(503,506),(504,502),(505,503),(506,501)
Set: 40 Seen: 1 | (504,0),(0,501),(502,506),(503,501),(504,502),(505,503),(506,505)
Set: 41 Seen: 1 | (504,0),(0,501),(502,506),(503,501),(504,505),(505,502),(506,503)
Set: 42 Seen: 2 | (504,0),(0,501),(502,506),(503,502),(504,505),(505,503),(506,501)
Set: 43 Seen: 1 | (504,0),(0,501),(502,506),(503,505),(504,503),(505,502),(506,501)
Set: 44 Seen: 1 | (505,0),(0,501),(502,501),(503,502),(504,503),(505,506),(506,504)
Set: 45 Seen: 1 | (505,0),(0,501),(502,501),(503,504),(504,506),(505,503),(506,502)
Set: 46 Seen: 3 | (505,0),(0,501),(502,501),(503,506),(504,503),(505,504),(506,502)
Set: 47 Seen: 1 | (505,0),(0,501),(502,503),(503,501),(504,502),(505,506),(506,504)
Set: 48 Seen: 1 | (505,0),(0,501),(502,503),(503,504),(504,506),(505,502),(506,501)
Set: 49 Seen: 2 | (505,0),(0,501),(502,503),(503,506),(504,502),(505,504),(506,501)
Set: 50 Seen: 1 | (505,0),(0,501),(502,504),(503,501),(504,503),(505,506),(506,502)
Set: 51 Seen: 2 | (505,0),(0,501),(502,504),(503,501),(504,506),(505,502),(506,503)
