Found 24 unique colour flow sets:

Set: 1 Seen: 2 | (502,0),(0,501),(503,501),(504,503),(502,0),(0,505),(505,504)
Set: 2 Seen: 4 | (502,0),(0,501),(503,501),(504,505),(502,0),(0,504),(505,503)
Set: 3 Seen: 3 | (502,0),(0,501),(503,504),(504,501),(502,0),(0,505),(505,503)
Set: 4 Seen: 3 | (502,0),(0,501),(503,504),(504,505),(502,0),(0,503),(505,501)
Set: 5 Seen: 3 | (502,0),(0,501),(503,505),(504,501),(502,0),(0,503),(505,504)
Set: 6 Seen: 2 | (502,0),(0,501),(503,505),(504,503),(502,0),(0,504),(505,501)
Set: 7 Seen: 4 | (503,0),(0,501),(503,502),(504,501),(502,0),(0,505),(505,504)
Set: 8 Seen: 4 | (503,0),(0,501),(503,502),(504,505),(502,0),(0,504),(505,501)
Set: 9 Seen: 9 | (503,0),(0,501),(503,504),(504,502),(502,0),(0,505),(505,501)
Set: 10 Seen: 2 | (503,0),(0,501),(503,504),(504,505),(502,0),(0,501),(505,502)
Set: 11 Seen: 3 | (503,0),(0,501),(503,505),(504,501),(502,0),(0,504),(505,502)
Set: 12 Seen: 5 | (503,0),(0,501),(503,505),(504,502),(502,0),(0,501),(505,504)
Set: 13 Seen: 5 | (504,0),(0,501),(503,501),(504,502),(502,0),(0,505),(505,503)
Set: 14 Seen: 5 | (504,0),(0,501),(503,501),(504,505),(502,0),(0,503),(505,502)
Set: 15 Seen: 3 | (504,0),(0,501),(503,502),(504,503),(502,0),(0,505),(505,501)
Set: 16 Seen: 5 | (504,0),(0,501),(503,502),(504,505),(502,0),(0,501),(505,503)
Set: 17 Seen: 5 | (504,0),(0,501),(503,505),(504,502),(502,0),(0,503),(505,501)
Set: 18 Seen: 5 | (504,0),(0,501),(503,505),(504,503),(502,0),(0,501),(505,502)
Set: 19 Seen: 11 | (505,0),(0,501),(503,501),(504,502),(502,0),(0,503),(505,504)
Set: 20 Seen: 4 | (505,0),(0,501),(503,501),(504,503),(502,0),(0,504),(505,502)
Set: 21 Seen: 2 | (505,0),(0,501),(503,502),(504,501),(502,0),(0,504),(505,503)
Set: 22 Seen: 3 | (505,0),(0,501),(503,502),(504,503),(502,0),(0,501),(505,504)
Set: 23 Seen: 4 | (505,0),(0,501),(503,504),(504,501),(502,0),(0,503),(505,502)
Set: 24 Seen: 4 | (505,0),(0,501),(503,504),(504,502),(502,0),(0,501),(505,503)
