Found 23 unique colour flow sets:

Set: 1 Seen: 3 | (0,501),(0,502),(0,502),(0,503),(503,504),(504,505),(505,501)
Set: 2 Seen: 1 | (0,501),(0,502),(0,502),(0,503),(503,505),(504,501),(505,504)
Set: 3 Seen: 2 | (0,501),(0,502),(0,502),(0,504),(503,501),(504,505),(505,503)
Set: 4 Seen: 5 | (0,501),(0,502),(0,502),(0,504),(503,505),(504,503),(505,501)
Set: 5 Seen: 3 | (0,501),(0,502),(0,502),(0,505),(503,501),(504,503),(505,504)
Set: 6 Seen: 5 | (0,501),(0,502),(0,502),(0,505),(503,504),(504,501),(505,503)
Set: 7 Seen: 1 | (0,501),(0,502),(0,503),(0,501),(503,504),(504,505),(505,502)
Set: 8 Seen: 3 | (0,501),(0,502),(0,503),(0,501),(503,505),(504,502),(505,504)
Set: 9 Seen: 5 | (0,501),(0,502),(0,503),(0,504),(503,502),(504,505),(505,501)
Set: 10 Seen: 3 | (0,501),(0,502),(0,503),(0,504),(503,505),(504,501),(505,502)
Set: 11 Seen: 6 | (0,501),(0,502),(0,503),(0,505),(503,502),(504,501),(505,504)
Set: 12 Seen: 4 | (0,501),(0,502),(0,503),(0,505),(503,504),(504,502),(505,501)
Set: 13 Seen: 2 | (0,501),(0,502),(0,504),(0,501),(503,502),(504,505),(505,503)
Set: 14 Seen: 2 | (0,501),(0,502),(0,504),(0,501),(503,505),(504,503),(505,502)
Set: 15 Seen: 2 | (0,501),(0,502),(0,504),(0,503),(503,501),(504,505),(505,502)
Set: 16 Seen: 4 | (0,501),(0,502),(0,504),(0,503),(503,505),(504,502),(505,501)
Set: 17 Seen: 7 | (0,501),(0,502),(0,504),(0,505),(503,501),(504,502),(505,503)
Set: 18 Seen: 7 | (0,501),(0,502),(0,504),(0,505),(503,502),(504,503),(505,501)
Set: 19 Seen: 2 | (0,501),(0,502),(0,505),(0,501),(503,502),(504,503),(505,504)
Set: 20 Seen: 6 | (0,501),(0,502),(0,505),(0,503),(503,501),(504,502),(505,504)
Set: 21 Seen: 10 | (0,501),(0,502),(0,505),(0,503),(503,504),(504,501),(505,502)
Set: 22 Seen: 7 | (0,501),(0,502),(0,505),(0,504),(503,501),(504,503),(505,502)
Set: 23 Seen: 10 | (0,501),(0,502),(0,505),(0,504),(503,502),(504,501),(505,503)
