Found 24 unique colour flow sets:

Set: 1 Seen: 207 | (502,501),(503,502),(503,504),(504,505),(505,501)
Set: 2 Seen: 225 | (502,501),(503,502),(503,505),(504,501),(505,504)
Set: 3 Seen: 193 | (502,501),(504,502),(503,501),(504,505),(505,503)
Set: 4 Seen: 182 | (502,501),(504,502),(503,505),(504,503),(505,501)
Set: 5 Seen: 196 | (502,501),(505,502),(503,501),(504,503),(505,504)
Set: 6 Seen: 203 | (502,501),(505,502),(503,504),(504,501),(505,503)
Set: 7 Seen: 189 | (503,501),(501,502),(503,504),(504,505),(505,502)
Set: 8 Seen: 203 | (503,501),(501,502),(503,505),(504,502),(505,504)
Set: 9 Seen: 636 | (503,501),(504,502),(503,502),(504,505),(505,501)
Set: 10 Seen: 702 | (503,501),(504,502),(503,505),(504,501),(505,502)
Set: 11 Seen: 628 | (503,501),(505,502),(503,502),(504,501),(505,504)
Set: 12 Seen: 621 | (503,501),(505,502),(503,504),(504,502),(505,501)
Set: 13 Seen: 191 | (504,501),(501,502),(503,502),(504,505),(505,503)
Set: 14 Seen: 184 | (504,501),(501,502),(503,505),(504,503),(505,502)
Set: 15 Seen: 618 | (504,501),(503,502),(503,501),(504,505),(505,502)
Set: 16 Seen: 641 | (504,501),(503,502),(503,505),(504,502),(505,501)
Set: 17 Seen: 646 | (504,501),(505,502),(503,501),(504,502),(505,503)
Set: 18 Seen: 601 | (504,501),(505,502),(503,502),(504,503),(505,501)
Set: 19 Seen: 177 | (505,501),(501,502),(503,502),(504,503),(505,504)
Set: 20 Seen: 201 | (505,501),(501,502),(503,504),(504,502),(505,503)
Set: 21 Seen: 668 | (505,501),(503,502),(503,501),(504,502),(505,504)
Set: 22 Seen: 649 | (505,501),(503,502),(503,504),(504,501),(505,502)
Set: 23 Seen: 619 | (505,501),(504,502),(503,501),(504,503),(505,502)
Set: 24 Seen: 620 | (505,501),(504,502),(503,502),(504,501),(505,503)
