Found 120 unique colour flow sets:

Set: 1 Seen: 41 | (502,501),(503,502),(503,504),(504,505),(505,506),(506,501)
Set: 2 Seen: 32 | (502,501),(503,502),(503,504),(504,506),(505,501),(506,505)
Set: 3 Seen: 32 | (502,501),(503,502),(503,505),(504,501),(505,506),(506,504)
Set: 4 Seen: 32 | (502,501),(503,502),(503,505),(504,506),(505,504),(506,501)
Set: 5 Seen: 24 | (502,501),(503,502),(503,506),(504,501),(505,504),(506,505)
Set: 6 Seen: 27 | (502,501),(503,502),(503,506),(504,505),(505,501),(506,504)
Set: 7 Seen: 41 | (502,501),(504,502),(503,501),(504,505),(505,506),(506,503)
Set: 8 Seen: 37 | (502,501),(504,502),(503,501),(504,506),(505,503),(506,505)
Set: 9 Seen: 30 | (502,501),(504,502),(503,505),(504,503),(505,506),(506,501)
Set: 10 Seen: 46 | (502,501),(504,502),(503,505),(504,506),(505,501),(506,503)
Set: 11 Seen: 30 | (502,501),(504,502),(503,506),(504,503),(505,501),(506,505)
Set: 12 Seen: 40 | (502,501),(504,502),(503,506),(504,505),(505,503),(506,501)
Set: 13 Seen: 34 | (502,501),(505,502),(503,501),(504,503),(505,506),(506,504)
Set: 14 Seen: 40 | (502,501),(505,502),(503,501),(504,506),(505,504),(506,503)
Set: 15 Seen: 29 | (502,501),(505,502),(503,504),(504,501),(505,506),(506,503)
Set: 16 Seen: 28 | (502,501),(505,502),(503,504),(504,506),(505,503),(506,501)
Set: 17 Seen: 34 | (502,501),(505,502),(503,506),(504,501),(505,503),(506,504)
Set: 18 Seen: 37 | (502,501),(505,502),(503,506),(504,503),(505,504),(506,501)
Set: 19 Seen: 32 | (502,501),(506,502),(503,501),(504,503),(505,504),(506,505)
Set: 20 Seen: 31 | (502,501),(506,502),(503,501),(504,505),(505,503),(506,504)
Set: 21 Seen: 34 | (502,501),(506,502),(503,504),(504,501),(505,503),(506,505)
Set: 22 Seen: 27 | (502,501),(506,502),(503,504),(504,505),(505,501),(506,503)
Set: 23 Seen: 41 | (502,501),(506,502),(503,505),(504,501),(505,504),(506,503)
Set: 24 Seen: 26 | (502,501),(506,502),(503,505),(504,503),(505,501),(506,504)
Set: 25 Seen: 28 | (503,501),(501,502),(503,504),(504,505),(505,506),(506,502)
Set: 26 Seen: 25 | (503,501),(501,502),(503,504),(504,506),(505,502),(506,505)
Set: 27 Seen: 27 | (503,501),(501,502),(503,505),(504,502),(505,506),(506,504)
Set: 28 Seen: 30 | (503,501),(501,502),(503,505),(504,506),(505,504),(506,502)
Set: 29 Seen: 37 | (503,501),(501,502),(503,506),(504,502),(505,504),(506,505)
Set: 30 Seen: 33 | (503,501),(501,502),(503,506),(504,505),(505,502),(506,504)
Set: 31 Seen: 109 | (503,501),(504,502),(503,502),(504,505),(505,506),(506,501)
Set: 32 Seen: 103 | (503,501),(504,502),(503,502),(504,506),(505,501),(506,505)
Set: 33 Seen: 83 | (503,501),(504,502),(503,505),(504,501),(505,506),(506,502)
Set: 34 Seen: 149 | (503,501),(504,502),(503,505),(504,506),(505,502),(506,501)
Set: 35 Seen: 90 | (503,501),(504,502),(503,506),(504,501),(505,502),(506,505)
Set: 36 Seen: 163 | (503,501),(504,502),(503,506),(504,505),(505,501),(506,502)
Set: 37 Seen: 96 | (503,501),(505,502),(503,502),(504,501),(505,506),(506,504)
Set: 38 Seen: 94 | (503,501),(505,502),(503,502),(504,506),(505,504),(506,501)
Set: 39 Seen: 170 | (503,501),(505,502),(503,504),(504,502),(505,506),(506,501)
Set: 40 Seen: 97 | (503,501),(505,502),(503,504),(504,506),(505,501),(506,502)
Set: 41 Seen: 164 | (503,501),(505,502),(503,506),(504,501),(505,504),(506,502)
Set: 42 Seen: 101 | (503,501),(505,502),(503,506),(504,502),(505,501),(506,504)
Set: 43 Seen: 99 | (503,501),(506,502),(503,502),(504,501),(505,504),(506,505)
Set: 44 Seen: 120 | (503,501),(506,502),(503,502),(504,505),(505,501),(506,504)
Set: 45 Seen: 141 | (503,501),(506,502),(503,504),(504,502),(505,501),(506,505)
Set: 46 Seen: 101 | (503,501),(506,502),(503,504),(504,505),(505,502),(506,501)
Set: 47 Seen: 148 | (503,501),(506,502),(503,505),(504,501),(505,502),(506,504)
Set: 48 Seen: 97 | (503,501),(506,502),(503,505),(504,502),(505,504),(506,501)
Set: 49 Seen: 38 | (504,501),(501,502),(503,502),(504,505),(505,506),(506,503)
Set: 50 Seen: 34 | (504,501),(501,502),(503,502),(504,506),(505,503),(506,505)
Set: 51 Seen: 22 | (504,501),(501,502),(503,505),(504,503),(505,506),(506,502)
Set: 52 Seen: 40 | (504,501),(501,502),(503,505),(504,506),(505,502),(506,503)
Set: 53 Seen: 40 | (504,501),(501,502),(503,506),(504,503),(505,502),(506,505)
Set: 54 Seen: 28 | (504,501),(501,502),(503,506),(504,505),(505,503),(506,502)
Set: 55 Seen: 113 | (504,501),(503,502),(503,501),(504,505),(505,506),(506,502)
Set: 56 Seen: 103 | (504,501),(503,502),(503,501),(504,506),(505,502),(506,505)
Set: 57 Seen: 88 | (504,501),(503,502),(503,505),(504,502),(505,506),(506,501)
Set: 58 Seen: 160 | (504,501),(503,502),(503,505),(504,506),(505,501),(506,502)
Set: 59 Seen: 80 | (504,501),(503,502),(503,506),(504,502),(505,501),(506,505)
Set: 60 Seen: 157 | (504,501),(503,502),(503,506),(504,505),(505,502),(506,501)
Set: 61 Seen: 81 | (504,501),(505,502),(503,501),(504,502),(505,506),(506,503)
Set: 62 Seen: 155 | (504,501),(505,502),(503,501),(504,506),(505,503),(506,502)
Set: 63 Seen: 160 | (504,501),(505,502),(503,502),(504,503),(505,506),(506,501)
Set: 64 Seen: 92 | (504,501),(505,502),(503,502),(504,506),(505,501),(506,503)
