Found 24 unique colour flow sets:

Set: 1 Seen: 239 | (501,502),(502,503),(504,503),(505,504),(501,0),(0,505)
Set: 2 Seen: 264 | (501,502),(502,503),(504,505),(505,503),(501,0),(0,504)
Set: 3 Seen: 552 | (501,502),(504,503),(504,502),(505,503),(501,0),(0,505)
Set: 4 Seen: 693 | (501,502),(504,503),(504,505),(505,502),(501,0),(0,503)
Set: 5 Seen: 699 | (501,502),(505,503),(504,502),(505,504),(501,0),(0,503)
Set: 6 Seen: 533 | (501,502),(505,503),(504,503),(505,502),(501,0),(0,504)
Set: 7 Seen: 266 | (503,502),(501,503),(504,502),(505,504),(501,0),(0,505)
Set: 8 Seen: 256 | (503,502),(501,503),(504,505),(505,502),(501,0),(0,504)
Set: 9 Seen: 188 | (503,502),(504,503),(504,501),(505,502),(501,0),(0,505)
Set: 10 Seen: 240 | (503,502),(504,503),(504,505),(505,501),(501,0),(0,502)
Set: 11 Seen: 285 | (503,502),(505,503),(504,501),(505,504),(501,0),(0,502)
Set: 12 Seen: 228 | (503,502),(505,503),(504,502),(505,501),(501,0),(0,504)
Set: 13 Seen: 527 | (504,502),(501,503),(504,503),(505,502),(501,0),(0,505)
Set: 14 Seen: 667 | (504,502),(501,503),(504,505),(505,503),(501,0),(0,502)
Set: 15 Seen: 208 | (504,502),(502,503),(504,501),(505,503),(501,0),(0,505)
Set: 16 Seen: 253 | (504,502),(502,503),(504,505),(505,501),(501,0),(0,503)
Set: 17 Seen: 542 | (504,502),(505,503),(504,501),(505,502),(501,0),(0,503)
Set: 18 Seen: 576 | (504,502),(505,503),(504,503),(505,501),(501,0),(0,502)
Set: 19 Seen: 576 | (505,502),(501,503),(504,502),(505,503),(501,0),(0,504)
Set: 20 Seen: 697 | (505,502),(501,503),(504,503),(505,504),(501,0),(0,502)
Set: 21 Seen: 256 | (505,502),(502,503),(504,501),(505,504),(501,0),(0,503)
Set: 22 Seen: 202 | (505,502),(502,503),(504,503),(505,501),(501,0),(0,504)
Set: 23 Seen: 566 | (505,502),(504,503),(504,501),(505,503),(501,0),(0,502)
Set: 24 Seen: 487 | (505,502),(504,503),(504,502),(505,501),(501,0),(0,503)
