Found 12 unique colour flow sets:

Set: 1 Seen: 792 | (501,503),(0,501),(504,502),(0,503),(502,0),(0,504)
Set: 2 Seen: 811 | (501,503),(0,501),(504,502),(0,504),(502,0),(0,503)
Set: 3 Seen: 593 | (501,503),(0,501),(504,503),(0,502),(502,0),(0,504)
Set: 4 Seen: 604 | (501,503),(0,501),(504,503),(0,504),(502,0),(0,502)
Set: 5 Seen: 706 | (502,503),(0,501),(504,501),(0,503),(502,0),(0,504)
Set: 6 Seen: 724 | (502,503),(0,501),(504,501),(0,504),(502,0),(0,503)
Set: 7 Seen: 1246 | (502,503),(0,501),(504,503),(0,501),(502,0),(0,504)
Set: 8 Seen: 1235 | (502,503),(0,501),(504,503),(0,504),(502,0),(0,501)
Set: 9 Seen: 1064 | (504,503),(0,501),(504,501),(0,502),(502,0),(0,503)
Set: 10 Seen: 998 | (504,503),(0,501),(504,501),(0,503),(502,0),(0,502)
Set: 11 Seen: 638 | (504,503),(0,501),(504,502),(0,501),(502,0),(0,503)
Set: 12 Seen: 589 | (504,503),(0,501),(504,502),(0,503),(502,0),(0,501)
