Found 21 unique colour flow sets:

Set: 1 Seen: 10 | (501,503),(502,504),(501,0),(0,504),(502,0),(0,505),(505,503)
Set: 2 Seen: 2 | (501,503),(503,504),(501,0),(0,502),(502,0),(0,505),(505,504)
Set: 3 Seen: 7 | (501,503),(505,504),(501,0),(0,502),(502,0),(0,504),(505,503)
Set: 4 Seen: 7 | (501,503),(505,504),(501,0),(0,504),(502,0),(0,503),(505,502)
Set: 5 Seen: 5 | (502,503),(501,504),(501,0),(0,503),(502,0),(0,505),(505,504)
Set: 6 Seen: 4 | (502,503),(501,504),(501,0),(0,505),(502,0),(0,504),(505,503)
Set: 7 Seen: 1 | (502,503),(503,504),(501,0),(0,504),(502,0),(0,505),(505,501)
Set: 8 Seen: 4 | (502,503),(503,504),(501,0),(0,505),(502,0),(0,501),(505,504)
Set: 9 Seen: 7 | (502,503),(505,504),(501,0),(0,503),(502,0),(0,504),(505,501)
Set: 10 Seen: 6 | (502,503),(505,504),(501,0),(0,504),(502,0),(0,501),(505,503)
Set: 11 Seen: 4 | (504,503),(501,504),(501,0),(0,502),(502,0),(0,505),(505,503)
Set: 12 Seen: 2 | (504,503),(501,504),(501,0),(0,505),(502,0),(0,503),(505,502)
Set: 13 Seen: 3 | (504,503),(502,504),(501,0),(0,505),(502,0),(0,501),(505,503)
Set: 14 Seen: 4 | (504,503),(505,504),(501,0),(0,502),(502,0),(0,503),(505,501)
Set: 15 Seen: 4 | (504,503),(505,504),(501,0),(0,503),(502,0),(0,501),(505,502)
Set: 16 Seen: 7 | (505,503),(501,504),(501,0),(0,502),(502,0),(0,503),(505,504)
Set: 17 Seen: 6 | (505,503),(501,504),(501,0),(0,503),(502,0),(0,504),(505,502)
Set: 18 Seen: 7 | (505,503),(502,504),(501,0),(0,503),(502,0),(0,501),(505,504)
Set: 19 Seen: 7 | (505,503),(502,504),(501,0),(0,504),(502,0),(0,503),(505,501)
Set: 20 Seen: 2 | (505,503),(503,504),(501,0),(0,502),(502,0),(0,504),(505,501)
Set: 21 Seen: 1 | (505,503),(503,504),(501,0),(0,504),(502,0),(0,501),(505,502)
