Found 43 unique colour flow sets:

Set: 1 Seen: 5 | (501,503),(0,501),(504,502),(0,503),(502,0),(0,505),(505,504)
Set: 2 Seen: 1 | (501,503),(0,501),(504,502),(0,504),(502,0),(0,505),(505,503)
Set: 3 Seen: 3 | (501,503),(0,501),(504,502),(0,505),(502,0),(0,504),(505,503)
Set: 4 Seen: 2 | (501,503),(0,501),(504,503),(0,502),(502,0),(0,505),(505,504)
Set: 5 Seen: 1 | (501,503),(0,501),(504,503),(0,504),(502,0),(0,505),(505,502)
Set: 6 Seen: 1 | (501,503),(0,501),(504,503),(0,505),(502,0),(0,502),(505,504)
Set: 7 Seen: 1 | (501,503),(0,501),(504,503),(0,505),(502,0),(0,504),(505,502)
Set: 8 Seen: 2 | (501,503),(0,501),(504,505),(0,502),(502,0),(0,504),(505,503)
Set: 9 Seen: 1 | (501,503),(0,501),(504,505),(0,503),(502,0),(0,504),(505,502)
Set: 10 Seen: 1 | (501,503),(0,501),(504,505),(0,504),(502,0),(0,502),(505,503)
Set: 11 Seen: 1 | (501,503),(0,501),(504,505),(0,504),(502,0),(0,503),(505,502)
Set: 12 Seen: 1 | (502,503),(0,501),(504,501),(0,503),(502,0),(0,505),(505,504)
Set: 13 Seen: 5 | (502,503),(0,501),(504,501),(0,504),(502,0),(0,505),(505,503)
Set: 14 Seen: 2 | (502,503),(0,501),(504,501),(0,505),(502,0),(0,503),(505,504)
Set: 15 Seen: 3 | (502,503),(0,501),(504,501),(0,505),(502,0),(0,504),(505,503)
Set: 16 Seen: 1 | (502,503),(0,501),(504,503),(0,501),(502,0),(0,505),(505,504)
Set: 17 Seen: 4 | (502,503),(0,501),(504,503),(0,504),(502,0),(0,505),(505,501)
Set: 18 Seen: 3 | (502,503),(0,501),(504,503),(0,505),(502,0),(0,501),(505,504)
Set: 19 Seen: 5 | (502,503),(0,501),(504,503),(0,505),(502,0),(0,504),(505,501)
Set: 20 Seen: 6 | (502,503),(0,501),(504,505),(0,501),(502,0),(0,504),(505,503)
Set: 21 Seen: 1 | (502,503),(0,501),(504,505),(0,503),(502,0),(0,504),(505,501)
Set: 22 Seen: 7 | (502,503),(0,501),(504,505),(0,504),(502,0),(0,501),(505,503)
Set: 23 Seen: 4 | (504,503),(0,501),(504,501),(0,502),(502,0),(0,505),(505,503)
Set: 24 Seen: 2 | (504,503),(0,501),(504,501),(0,503),(502,0),(0,505),(505,502)
Set: 25 Seen: 1 | (504,503),(0,501),(504,501),(0,505),(502,0),(0,502),(505,503)
Set: 26 Seen: 3 | (504,503),(0,501),(504,501),(0,505),(502,0),(0,503),(505,502)
Set: 27 Seen: 1 | (504,503),(0,501),(504,502),(0,501),(502,0),(0,505),(505,503)
Set: 28 Seen: 2 | (504,503),(0,501),(504,502),(0,503),(502,0),(0,505),(505,501)
Set: 29 Seen: 3 | (504,503),(0,501),(504,502),(0,505),(502,0),(0,501),(505,503)
Set: 30 Seen: 2 | (504,503),(0,501),(504,502),(0,505),(502,0),(0,503),(505,501)
Set: 31 Seen: 1 | (504,503),(0,501),(504,505),(0,501),(502,0),(0,503),(505,502)
Set: 32 Seen: 1 | (504,503),(0,501),(504,505),(0,502),(502,0),(0,503),(505,501)
Set: 33 Seen: 3 | (504,503),(0,501),(504,505),(0,503),(502,0),(0,501),(505,502)
Set: 34 Seen: 1 | (505,503),(0,501),(504,501),(0,502),(502,0),(0,503),(505,504)
Set: 35 Seen: 2 | (505,503),(0,501),(504,501),(0,503),(502,0),(0,502),(505,504)
Set: 36 Seen: 2 | (505,503),(0,501),(504,502),(0,501),(502,0),(0,503),(505,504)
Set: 37 Seen: 1 | (505,503),(0,501),(504,502),(0,503),(502,0),(0,501),(505,504)
Set: 38 Seen: 2 | (505,503),(0,501),(504,502),(0,503),(502,0),(0,504),(505,501)
Set: 39 Seen: 1 | (505,503),(0,501),(504,502),(0,504),(502,0),(0,503),(505,501)
Set: 40 Seen: 6 | (505,503),(0,501),(504,503),(0,501),(502,0),(0,504),(505,502)
Set: 41 Seen: 1 | (505,503),(0,501),(504,503),(0,502),(502,0),(0,504),(505,501)
Set: 42 Seen: 2 | (505,503),(0,501),(504,503),(0,504),(502,0),(0,501),(505,502)
Set: 43 Seen: 2 | (505,503),(0,501),(504,503),(0,504),(502,0),(0,502),(505,501)
