Found 12 unique colour flow sets:

Set: 1 Seen: 6 | (501,504),(0,501),(502,0),(0,503),(503,0),(0,502),(0,504)
Set: 2 Seen: 6 | (501,504),(0,501),(502,0),(0,503),(503,0),(0,504),(0,502)
Set: 3 Seen: 5 | (501,504),(0,501),(502,0),(0,504),(503,0),(0,502),(0,503)
Set: 4 Seen: 8 | (501,504),(0,501),(502,0),(0,504),(503,0),(0,503),(0,502)
Set: 5 Seen: 7 | (502,504),(0,501),(502,0),(0,501),(503,0),(0,503),(0,504)
Set: 6 Seen: 7 | (502,504),(0,501),(502,0),(0,501),(503,0),(0,504),(0,503)
Set: 7 Seen: 10 | (502,504),(0,501),(502,0),(0,503),(503,0),(0,501),(0,504)
Set: 8 Seen: 10 | (502,504),(0,501),(502,0),(0,503),(503,0),(0,504),(0,501)
Set: 9 Seen: 9 | (503,504),(0,501),(502,0),(0,501),(503,0),(0,502),(0,504)
Set: 10 Seen: 7 | (503,504),(0,501),(502,0),(0,501),(503,0),(0,504),(0,502)
Set: 11 Seen: 15 | (503,504),(0,501),(502,0),(0,504),(503,0),(0,501),(0,502)
Set: 12 Seen: 10 | (503,504),(0,501),(502,0),(0,504),(503,0),(0,502),(0,501)
