Found 18 unique colour flow sets:

Set: 1 Seen: 5 | (501,504),(0,501),(502,0),(0,502),(503,0),(0,503),(0,504)
Set: 2 Seen: 7 | (501,504),(0,501),(502,0),(0,502),(503,0),(0,504),(0,503)
Set: 3 Seen: 8 | (501,504),(0,501),(502,0),(0,503),(503,0),(0,502),(0,504)
Set: 4 Seen: 4 | (501,504),(0,501),(502,0),(0,503),(503,0),(0,504),(0,502)
Set: 5 Seen: 5 | (501,504),(0,501),(502,0),(0,504),(503,0),(0,502),(0,503)
Set: 6 Seen: 7 | (501,504),(0,501),(502,0),(0,504),(503,0),(0,503),(0,502)
Set: 7 Seen: 4 | (502,504),(0,501),(502,0),(0,501),(503,0),(0,503),(0,504)
Set: 8 Seen: 6 | (502,504),(0,501),(502,0),(0,501),(503,0),(0,504),(0,503)
Set: 9 Seen: 8 | (502,504),(0,501),(502,0),(0,503),(503,0),(0,501),(0,504)
Set: 10 Seen: 8 | (502,504),(0,501),(502,0),(0,503),(503,0),(0,504),(0,501)
Set: 11 Seen: 1 | (502,504),(0,501),(502,0),(0,504),(503,0),(0,501),(0,503)
Set: 12 Seen: 4 | (502,504),(0,501),(502,0),(0,504),(503,0),(0,503),(0,501)
Set: 13 Seen: 4 | (503,504),(0,501),(502,0),(0,501),(503,0),(0,502),(0,504)
Set: 14 Seen: 9 | (503,504),(0,501),(502,0),(0,501),(503,0),(0,504),(0,502)
Set: 15 Seen: 4 | (503,504),(0,501),(502,0),(0,502),(503,0),(0,501),(0,504)
Set: 16 Seen: 2 | (503,504),(0,501),(502,0),(0,502),(503,0),(0,504),(0,501)
Set: 17 Seen: 11 | (503,504),(0,501),(502,0),(0,504),(503,0),(0,501),(0,502)
Set: 18 Seen: 3 | (503,504),(0,501),(502,0),(0,504),(503,0),(0,502),(0,501)
