Found 22 unique colour flow sets:

Set: 1 Seen: 3 | (502,0),(503,0),(501,0),(502,0),(503,504),(504,505),(505,501)
Set: 2 Seen: 2 | (502,0),(503,0),(501,0),(502,0),(503,505),(504,501),(505,504)
Set: 3 Seen: 3 | (502,0),(504,0),(501,0),(502,0),(503,501),(504,505),(505,503)
Set: 4 Seen: 3 | (502,0),(504,0),(501,0),(502,0),(503,505),(504,503),(505,501)
Set: 5 Seen: 5 | (502,0),(505,0),(501,0),(502,0),(503,504),(504,501),(505,503)
Set: 6 Seen: 1 | (503,0),(501,0),(501,0),(502,0),(503,504),(504,505),(505,502)
Set: 7 Seen: 7 | (503,0),(504,0),(501,0),(502,0),(503,502),(504,505),(505,501)
Set: 8 Seen: 5 | (503,0),(504,0),(501,0),(502,0),(503,505),(504,501),(505,502)
Set: 9 Seen: 2 | (503,0),(505,0),(501,0),(502,0),(503,502),(504,501),(505,504)
Set: 10 Seen: 9 | (503,0),(505,0),(501,0),(502,0),(503,504),(504,502),(505,501)
Set: 11 Seen: 3 | (504,0),(501,0),(501,0),(502,0),(503,502),(504,505),(505,503)
Set: 12 Seen: 7 | (504,0),(501,0),(501,0),(502,0),(503,505),(504,503),(505,502)
Set: 13 Seen: 4 | (504,0),(503,0),(501,0),(502,0),(503,501),(504,505),(505,502)
Set: 14 Seen: 2 | (504,0),(503,0),(501,0),(502,0),(503,505),(504,502),(505,501)
Set: 15 Seen: 5 | (504,0),(505,0),(501,0),(502,0),(503,501),(504,502),(505,503)
Set: 16 Seen: 4 | (504,0),(505,0),(501,0),(502,0),(503,502),(504,503),(505,501)
Set: 17 Seen: 2 | (505,0),(501,0),(501,0),(502,0),(503,502),(504,503),(505,504)
Set: 18 Seen: 1 | (505,0),(501,0),(501,0),(502,0),(503,504),(504,502),(505,503)
Set: 19 Seen: 12 | (505,0),(503,0),(501,0),(502,0),(503,501),(504,502),(505,504)
Set: 20 Seen: 6 | (505,0),(503,0),(501,0),(502,0),(503,504),(504,501),(505,502)
Set: 21 Seen: 8 | (505,0),(504,0),(501,0),(502,0),(503,501),(504,503),(505,502)
Set: 22 Seen: 6 | (505,0),(504,0),(501,0),(502,0),(503,502),(504,501),(505,503)
