Found 18 unique colour flow sets:

Set: 1 Seen: 8 | (501,0),(0,501),(502,0),(0,502),(503,0),(0,504),(504,503)
Set: 2 Seen: 8 | (501,0),(0,501),(502,0),(0,503),(503,0),(0,504),(504,502)
Set: 3 Seen: 8 | (501,0),(0,501),(502,0),(0,504),(503,0),(0,502),(504,503)
Set: 4 Seen: 8 | (501,0),(0,501),(502,0),(0,504),(503,0),(0,503),(504,502)
Set: 5 Seen: 8 | (502,0),(0,501),(502,0),(0,501),(503,0),(0,504),(504,503)
Set: 6 Seen: 2 | (502,0),(0,501),(502,0),(0,503),(503,0),(0,504),(504,501)
Set: 7 Seen: 6 | (502,0),(0,501),(502,0),(0,504),(503,0),(0,501),(504,503)
Set: 8 Seen: 4 | (502,0),(0,501),(502,0),(0,504),(503,0),(0,503),(504,501)
Set: 9 Seen: 7 | (503,0),(0,501),(502,0),(0,501),(503,0),(0,504),(504,502)
Set: 10 Seen: 3 | (503,0),(0,501),(502,0),(0,502),(503,0),(0,504),(504,501)
Set: 11 Seen: 3 | (503,0),(0,501),(502,0),(0,504),(503,0),(0,501),(504,502)
Set: 12 Seen: 7 | (503,0),(0,501),(502,0),(0,504),(503,0),(0,502),(504,501)
Set: 13 Seen: 2 | (504,0),(0,501),(502,0),(0,501),(503,0),(0,502),(504,503)
Set: 14 Seen: 4 | (504,0),(0,501),(502,0),(0,501),(503,0),(0,503),(504,502)
Set: 15 Seen: 1 | (504,0),(0,501),(502,0),(0,502),(503,0),(0,501),(504,503)
Set: 16 Seen: 9 | (504,0),(0,501),(502,0),(0,502),(503,0),(0,503),(504,501)
Set: 17 Seen: 3 | (504,0),(0,501),(502,0),(0,503),(503,0),(0,501),(504,502)
Set: 18 Seen: 9 | (504,0),(0,501),(502,0),(0,503),(503,0),(0,502),(504,501)
