
=== Slice 10.5-10.6 TeV Summary ===

qq_qq: 19 events (86.4%)
    Initial IDs = 2,2 | qq → qqq'q̄' | Outgoing IDs = 2,2,4,-4 | Events: 2 (10.5%)
    Initial IDs = 2,2 | qq → qqgg    | Outgoing IDs = 2,2,21,21 | Events: 5 (26.3%)
    Initial IDs = 2,2 | qq → qqq'q̄' | Outgoing IDs = 2,2,5,-5 | Events: 3 (15.8%)
    Initial IDs = 2,2 | qq → qqq'q̄' | Outgoing IDs = 2,2,1,-1 | Events: 2 (10.5%)
    Initial IDs = 2,2 | qq → qqqq̄   | Outgoing IDs = 2,2,2,-2 | Events: 6 (31.6%)
    Initial IDs = 2,2 | qq → qqq'q̄' | Outgoing IDs = 2,2,3,-3 | Events: 1 (5.3%)

qqp_qqp: 3 events (13.6%)
    Initial IDs = 1,2 | qq' → qq'q'q̄' | Outgoing IDs = 1,2,2,-2 | Events: 1 (33.3%)
    Initial IDs = 1,2 | qq' → qq'gg  | Outgoing IDs = 1,2,21,21 | Events: 1 (33.3%)
    Initial IDs = 1,2 | qq' → qq'qq̄ | Outgoing IDs = 1,2,1,-1 | Events: 1 (33.3%)
