
=== Slice 10.6-10.7 TeV Summary ===

qq_qq: 17 events (77.3%)
    Initial IDs = 2,2 | qq → qqqq̄   | Outgoing IDs = 2,2,2,-2 | Events: 11 (64.7%)
    Initial IDs = 2,2 | qq → qqgg    | Outgoing IDs = 2,2,21,21 | Events: 4 (23.5%)
    Initial IDs = 2,2 | qq → qqq'q̄' | Outgoing IDs = 2,2,1,-1 | Events: 1 (5.9%)
    Initial IDs = 2,2 | qq → qqq'q̄' | Outgoing IDs = 2,2,4,-4 | Events: 1 (5.9%)

qqp_qqp: 5 events (22.7%)
    Initial IDs = 1,2 | qq' → qq'q''q̄'' | Outgoing IDs = 1,2,5,-5 | Events: 1 (20.0%)
    Initial IDs = 1,2 | qq' → qq'q''q̄'' | Outgoing IDs = 1,2,4,-4 | Events: 1 (20.0%)
    Initial IDs = 1,2 | qq' → qq'q''q̄'' | Outgoing IDs = 1,2,3,-3 | Events: 1 (20.0%)
    Initial IDs = 1,2 | qq' → qq'q'q̄' | Outgoing IDs = 1,2,2,-2 | Events: 1 (20.0%)
    Initial IDs = 1,2 | qq' → qq'qq̄ | Outgoing IDs = 1,2,1,-1 | Events: 1 (20.0%)
