
=== Slice 9.3-9.4 TeV Summary ===

qq_qq: 12 events (54.5%)
    Initial IDs = 2,2 | qq → qqgg    | Outgoing IDs = 2,2,21,21 | Events: 5 (41.7%)
    Initial IDs = 2,2 | qq → qqq'q̄' | Outgoing IDs = 2,2,4,-4 | Events: 1 (8.3%)
    Initial IDs = 2,2 | qq → qqq'q̄' | Outgoing IDs = 2,2,3,-3 | Events: 2 (16.7%)
    Initial IDs = 2,2 | qq → qqqq̄   | Outgoing IDs = 2,2,2,-2 | Events: 2 (16.7%)
    Initial IDs = 2,2 | qq → qqq'q̄' | Outgoing IDs = 2,2,5,-5 | Events: 1 (8.3%)
    Initial IDs = 2,2 | qq → qqq'q̄' | Outgoing IDs = 2,2,1,-1 | Events: 1 (8.3%)

qqp_qqp: 10 events (45.5%)
    Initial IDs = 1,2 | qq' → qq'q''q̄'' | Outgoing IDs = 1,2,4,-4 | Events: 2 (20.0%)
    Initial IDs = 1,2 | qq' → qq'q'q̄' | Outgoing IDs = 1,2,2,-2 | Events: 3 (30.0%)
    Initial IDs = 1,2 | qq' → qq'q''q̄'' | Outgoing IDs = 1,2,3,-3 | Events: 2 (20.0%)
    Initial IDs = 1,2 | qq' → qq'gg  | Outgoing IDs = 1,2,21,21 | Events: 2 (20.0%)
    Initial IDs = 1,2 | qq' → qq'qq̄ | Outgoing IDs = 1,2,1,-1 | Events: 1 (10.0%)
